Lexeme                     Token                         Position
}                          ORG_CLOSE_CURLY               (105,0)
if                         W_IF                          (106,2)
(                          ORG_OPEN_PAREN                (106,4)
scan                       EL_ID                         (106,9)
.                          PUNCT_DOT                     (106,11)
hasNext                    EL_ID                         (106,19)
(                          ORG_OPEN_PAREN                (106,21)
)                          ORG_CLOSE_PAREN               (106,23)
)                          ORG_CLOSE_PAREN               (106,24)
{                          ORG_OPEN_CURLY                (106,18)
path                       EL_ID                         (107,0)
=                          OP_ASSIGN                     (107,4)
scan                       EL_ID                         (107,9)
.                          PUNCT_DOT                     (107,11)
next                       EL_ID                         (107,16)
(                          ORG_OPEN_PAREN                (107,18)
)                          ORG_CLOSE_PAREN               (107,20)
;                          PUNCT_SEMICOL                 (107,21)
try                        EL_ID                         (108,0)
{                          ORG_OPEN_CURLY                (108,3)
pathValue                  EL_ID                         (109,0)
=                          OP_ASSIGN                     (109,9)
Token                      EL_ID                         (109,15)
.                          PUNCT_DOT                     (109,17)
TOKEN                      EL_ID                         (109,23)
.                          PUNCT_DOT                     (109,25)
valueOf                    EL_ID                         (109,33)
(                          ORG_OPEN_PAREN                (109,35)
path                       EL_ID                         (109,40)
)                          ORG_CLOSE_PAREN               (109,42)
;                          PUNCT_SEMICOL                 (109,43)
hasPath                    EL_ID                         (110,0)
=                          OP_ASSIGN                     (110,7)
true                       EL_ID                         (110,12)
;                          PUNCT_SEMICOL                 (110,13)
}                          ORG_CLOSE_CURLY               (111,0)
catch                      EL_ID                         (111,1)
(                          ORG_OPEN_PAREN                (111,7)
Exception                  EL_ID                         (111,8)
e                          EL_ID                         (111,17)
)                          ORG_CLOSE_PAREN               (111,18)
{                          ORG_OPEN_CURLY                (111,18)
System                     EL_ID                         (112,6)
.                          PUNCT_DOT                     (112,8)
out                        EL_ID                         (112,12)
.                          PUNCT_DOT                     (112,14)
println                    EL_ID                         (112,22)
(                          ORG_OPEN_PAREN                (112,24)
Could                      EL_ID                         (112,27)
not                        OP_NOT                        (112,25)
match                      EL_ID                         (112,28)
token                      EL_ID                         (112,33)
value                      EL_ID                         (112,43)
+                          OP_PLUS                       (112,45)
path                       EL_ID                         (112,46)
+                          OP_PLUS                       (112,50)
at                         EL_ID                         (112,52)
line                       EL_ID                         (112,54)
+                          OP_PLUS                       (112,59)
lineNum                    EL_ID                         (112,67)
)                          ORG_CLOSE_PAREN               (112,69)
;                          PUNCT_SEMICOL                 (112,70)
}                          ORG_CLOSE_CURLY               (113,0)
}                          ORG_CLOSE_CURLY               (114,0)
dfa                        EL_ID                         (115,3)
.                          PUNCT_DOT                     (115,5)
reset                      EL_ID                         (115,11)
(                          ORG_OPEN_PAREN                (115,13)
)                          ORG_CLOSE_PAREN               (115,15)
;                          PUNCT_SEMICOL                 (115,16)
for                        W_FOR                         (116,3)
(                          ORG_OPEN_PAREN                (116,5)
